,objectid,acc_id,longitude,latitude,crash_date,crash_time,severity
62266,24355806,9655383,115.97893899999998,-32.539432,24/11/2017,404.0,Fatal
62272,24355812,9655448,121.481485,-30.781865999999997,4/12/2017,1950.0,Fatal
62273,24355813,9655455,115.994656,-31.832233000000002,4/12/2017,820.0,Fatal
62416,24355956,9674544,113.873993,-23.111576,20/12/2017,1530.0,Fatal
62417,24355957,9674548,120.13981000000001,-19.976727,20/12/2017,1708.0,Fatal
62422,24355962,9674571,115.67453,-33.350823,15/12/2017,539.0,Fatal
62426,24355966,9674597,117.86436200000001,-35.004379,21/12/2017,1339.0,Fatal
62711,24356251,9675119,116.87208899999999,-32.401043,25/12/2017,506.0,Fatal
62712,24356252,9675125,115.782541,-31.807561,26/12/2017,1525.0,Fatal
63008,24356548,9675699,115.979501,-31.752240999999998,29/12/2017,2000.0,Fatal
63009,24356549,9675703,115.97322199999999,-32.242338000000004,29/12/2017,2240.0,Fatal
63010,24356550,9675709,115.84835600000001,-32.123424,5/12/2017,1627.0,Fatal
63229,24356769,9666927,115.861723,-32.001081,5/12/2017,2012.0,Fatal
63230,24356770,9666933,116.415098,-31.52614,7/12/2017,1400.0,Fatal
63303,24356843,9676275,117.05473899999998,-31.934908,13/10/2017,720.0,Fatal
63304,24356844,9676279,122.337144,-17.600299,14/10/2017,1322.0,Fatal
63306,24356846,9676293,115.70768400000001,-31.565909,2/01/2018,530.0,Fatal
63307,24356847,9676297,115.71843,-33.167928,5/01/2018,626.0,Fatal
63501,24357041,9667363,115.835194,-31.896590999999997,10/12/2017,1709.0,Fatal
63502,24357042,9667368,116.054258,-31.971853999999997,8/12/2017,1150.0,Fatal
63570,24357110,9676593,114.915365,-29.173856,10/01/2018,1214.0,Fatal
63571,24357111,9676602,115.857621,-32.124325,11/01/2018,1341.0,Fatal
63575,24357115,9676631,115.828538,-32.108526,9/01/2018,1616.0,Fatal
63792,24357332,9667886,115.76082199999999,-33.328221,14/12/2017,2115.0,Fatal
63793,24357333,9667893,119.96314699999999,-33.501407,13/12/2017,340.0,Fatal
63794,24357334,9667898,116.05768,-31.972129,12/12/2017,1620.0,Fatal
63795,24357335,9667909,116.101603,-33.899002,13/12/2017,1520.0,Fatal
63796,24357336,9667917,116.08492199999999,-31.316986,16/12/2017,1127.0,Fatal
64668,24358208,9707432,116.12818500000002,-31.899859999999997,8/02/2018,1754.0,Fatal
64766,24358306,9717635,115.825322,-32.123748,23/02/2018,2128.0,Fatal
64772,24358312,9717721,115.810142,-33.264049,27/02/2018,1630.0,Fatal
65196,24358736,9699018,116.95662800000001,-20.765383,20/01/2018,600.0,Fatal
65844,24359384,9710245,115.749696,-31.765943,11/02/2018,335.0,Fatal
65845,24359385,9710255,116.079004,-30.618403999999998,9/02/2018,25.0,Fatal
66548,24360088,9721671,115.870989,-31.896588,25/01/2018,1717.0,Fatal
66552,24360092,9721698,115.863446,-31.957034999999998,2/03/2018,1850.0,Fatal
66554,24360094,9721710,115.90653300000001,-32.080529,2/03/2018,2112.0,Fatal
66555,24360095,9721718,115.877948,-33.465361,2/03/2018,2215.0,Fatal
67277,24360817,9703481,115.109524,-33.835654,28/01/2018,1640.0,Fatal
67281,24360821,9703540,115.83538899999999,-33.266264,30/01/2018,625.0,Fatal
67329,24360869,9713608,115.77028600000001,-31.685559,20/02/2018,646.0,Fatal
67348,24360888,9713748,116.20333799999999,-34.217059000000006,21/02/2018,1537.0,Fatal
67632,24361172,9714141,115.71613,-33.278754,25/02/2018,1220.0,Fatal
67815,24361355,9704229,117.62359599999999,-33.999959999999994,3/02/2018,1037.0,Fatal
69022,24362562,9707205,115.788703,-32.127313,3/02/2018,1940.0,Fatal
70377,24363917,9738662,116.676891,-32.876355,2/04/2018,1200.0,Fatal
70378,24363918,9738672,117.983341,-31.506932,28/03/2018,1245.0,Fatal
70547,24364087,9757937,116.762157,-30.988829,27/04/2018,1947.0,Fatal
70548,24364088,9757941,115.63943799999998,-31.300734000000002,29/04/2018,1128.0,Fatal
70549,24364089,9757945,118.4704,-32.999615000000006,28/04/2018,544.0,Fatal
70558,24364098,9758024,117.32992800000001,-32.001114,1/05/2018,2054.0,Fatal
70570,24364110,9758109,115.95512099999999,-31.995632,3/05/2018,1524.0,Fatal
70571,24364111,9758115,116.37897199999999,-31.799365,5/05/2018,250.0,Fatal
70572,24364112,9758119,115.822328,-33.588444,1/05/2018,2100.0,Fatal
